Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
18051504,You Are the Placebo: Making Your Mind Matter,Joe Dispenza,"Dispenza, Joe",,"=""1401944582""","=""9781401944582""",4,4.25,Hay House Inc,Hardcover,348,2014,2014,2018/07/16,2018/04/10,,,read,,,,1,0
548071,Seeing Nature: Deliberate Encounters with the Visible World,Paul Krafel,"Krafel, Paul",,"=""189013242X""","=""9781890132422""",0,4.26,Chelsea Green Publishing,Paperback,193,2008,1999,,2018/07/13,to-read,to-read (#61),to-read,,,,0,0
35805860,"Real Magic: Ancient Wisdom, Modern Science, and a Guide to the Secret Power of the Universe",Dean Radin,"Radin, Dean",,"=""1524758825""","=""9781524758820""",5,4.10,Harmony,Paperback,222,2018,,2018/06/29,2018/06/26,,,read,,,,1,0
16099149,"Supernormal: Science, Yoga and the Evidence for Extraordinary Psychic Abilities",Dean Radin,"Radin, Dean",Deepak Chopra,"=""030798690X""","=""9780307986900""",0,3.92,Deepak Chopra,Paperback,369,2013,2013,,2018/06/26,to-read,to-read (#60),to-read,,,,0,0
12951631,Breaking the Habit of Being Yourself: How to Lose Your Mind and Create a New One,Joe Dispenza,"Dispenza, Joe",,"=""1401938086""","=""9781401938086""",0,4.13,Hay House Inc,Hardcover,329,2012,2012,,2018/06/19,to-read,to-read (#59),to-read,,,,0,0
345266,The Way of Herbs: Fully Updated with the Latest Developments in Herbal Science,Michael Tierra,"Tierra, Michael",,"=""0671023276""","=""9780671023270""",0,4.28,Pocket Books,Paperback,416,1998,1980,,2018/05/02,plant-medicine,plant-medicine (#9),plant-medicine,,,,0,0
168363,The Herbal Medicine-Maker's Handbook: A Home Manual [An Herbalism Book],James  Green,"Green, James",Ajana Green,"=""0895949903""","=""9780895949905""",0,4.40,Crossing Press,Paperback,384,2000,2000,,2018/05/02,plant-medicine,plant-medicine (#8),plant-medicine,,,,0,0
649445,"Adaptogens: Herbs for Strength, Stamina, and Stress Relief",Steven Maimes,"Maimes, Steven",David    Winston,"=""1594771588""","=""9781594771583""",0,4.46,Healing Arts Press,Paperback,336,2007,2007,,2018/05/02,plant-medicine,plant-medicine (#7),plant-medicine,,,,0,0
168370,Making Plant Medicine,Richo Cech,"Cech, Richo","Sena Cech, Anne Gunter","=""0970031203""","=""9780970031204""",0,4.53,Horizon Herbs,Paperback,276,2000,2000,,2018/05/02,plant-medicine,plant-medicine (#6),plant-medicine,,,,0,0
192693,Medical Herbalism: The Science Principles and Practices Of Herbal Medicine,David Hoffmann,"Hoffmann, David",,"=""0892817496""","=""9780892817498""",0,4.60,Healing Arts Press,Hardcover,672,2003,2003,,2018/05/02,plant-medicine,plant-medicine (#5),plant-medicine,,,,0,0
1161830,The Book of Herbal Wisdom: Using Plants as Medicines,Matthew Wood,"Wood, Matthew",,"=""1556432321""","=""9781556432323""",0,4.52,North Atlantic Books,Paperback,580,1997,1997,,2018/05/02,plant-medicine,plant-medicine (#4),plant-medicine,,,,0,0
5407038,"Ayahuasca: Rituale, Zaubertränke und visionäre Kunst aus Amazonien",Christian Rätsch,"Rätsch, Christian",,"=""3038002704""","=""9783038002703""",0,4.50,AT Verlag,Hardcover,312,2006,,,2018/02/19,plant-medicine,plant-medicine (#3),plant-medicine,,,,0,0
30257963,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,"Peterson, Jordan B.",,"=""0345816021""","=""9780345816023""",0,3.91,Random House Canada,Hardcover,409,2018,2018,,2018/06/17,to-read,to-read (#58),to-read,,,,0,0
552702,"Pharmako/Poeia: Plant Powers, Poisons, and Herbcraft",Dale Pendell,"Pendell, Dale",Gary Snyder,"=""1562790692""","=""9781562790691""",0,4.55,Mercury House,Paperback,304,1994,1994,,2018/05/02,plant-medicine,plant-medicine (#2),plant-medicine,,,,0,0
36342223,Magic Medicine: A Trip Through the Intoxicating History and Modern-Day Use of Psychedelic Plants and Substances,Cody  Johnson,"Johnson, Cody",,"=""1592337724""","=""9781592337729""",0,4.13,Fair Winds Press,Hardcover,232,2018,2018,2018/05/23,2018/02/26,plant-medicine,plant-medicine (#1),plant-medicine,,,,2,0
70561,The Gulag Archipelago 1918–1956 (Abridged),Aleksandr Solzhenitsyn,"Solzhenitsyn, Aleksandr",Edward E. Ericson Jr.,"=""0060007761""","=""9780060007768""",0,4.33,HarperCollins,Paperback,512,2002,1973,,2018/06/17,to-read,to-read (#57),to-read,,,,0,0
35187203,The Overstory,Richard Powers,"Powers, Richard",,"=""039363552X""","=""9780393635522""",4,4.11,W. W. Norton & Company,Hardcover,502,2018,2018,2018/06/17,2018/05/23,,,read,,,,1,0
36521232,Science and Spiritual Practices: Reconnecting through direct experience,Rupert Sheldrake,"Sheldrake, Rupert",,"=""""","=""""",0,3.79,Coronet,Kindle Edition,255,2017,,,2018/06/17,to-read,to-read (#56),to-read,,,,0,0
369072,"Chaos, Creativity and Cosmic Consciousness",Rupert Sheldrake,"Sheldrake, Rupert","Terence McKenna, Ralph H. Abraham, Jean Houston","=""0892819774""","=""9780892819775""",0,4.06,Park Street Press,Paperback,208,2001,1992,,2018/06/17,to-read,to-read (#55),to-read,,,,0,0
35484894,New Power: How Power Works in Our Hyperconnected World—and How to Make It Work for You,Jeremy Heimans,"Heimans, Jeremy",Henry Timms,"=""0385541120""","=""9780385541121""",0,3.82,Anchor,Kindle Edition,310,2018,2018,,2018/06/17,to-read,to-read (#54),to-read,,,,0,0
822700,Closure: A Story of Everything,Hilary Lawson,"Lawson, Hilary",,"=""0415136504""","=""9780415136501""",0,3.93,Routledge,Paperback,420,2001,2001,,2018/06/17,to-read,to-read (#53),to-read,,,,0,0
38494610,"Own the Day, Own Your Life: Optimised practices for waking, working, learning, eating, training, playing, sleeping and sex",Aubrey Marcus,"Marcus, Aubrey",,"=""0008286426""","=""9780008286422""",0,3.93,Harper Thorsons,Kindle Edition,462,2018,2018,,2018/06/17,to-read,to-read (#52),to-read,,,,0,0
2218102,Maps of Meaning: The Architecture of Belief,Jordan B. Peterson,"Peterson, Jordan B.",,"=""0415922224""","=""9780415922227""",0,4.03,Routledge,Paperback,564,1999,1999,,2018/06/17,to-read,to-read (#51),to-read,,,,0,0
970831,The Soul's Code: In Search of Character and Calling,James Hillman,"Hillman, James",,"=""0446673714""","=""9780446673716""",0,3.88,Grand Central Publishing,Paperback,352,1997,1996,,2018/05/23,to-read,to-read (#50),to-read,,,,0,0
241823,Women Who Run With the Wolves,Clarissa Pinkola Estés,"Estés, Clarissa Pinkola",,"=""0345409876""","=""9780345409874""",0,4.11,Ballantine Books,Paperback,537,1995,1992,,2018/05/23,to-read,to-read (#49),to-read,,,,0,0
13642726,Dispelling Wetiko: Breaking the Curse of Evil,Paul  Levy,"Levy, Paul",,"=""1583945482""","=""9781583945483""",0,4.25,North Atlantic Books,Paperback,376,2013,2011,,2018/05/23,to-read,to-read (#48),to-read,,,,0,0
36482672,Seven Types of Atheism,John   Gray,"Gray, John",,"=""0241199417""","=""9780241199411""",0,3.85,Allen Lane,Hardcover,182,2018,2018,,2018/05/23,to-read,to-read (#47),to-read,,,,0,0
5597902,Complexity: A Guided Tour,Melanie  Mitchell,"Mitchell, Melanie",,"=""0195124413""","=""9780195124415""",0,4.11,"Oxford University Press, USA",Hardcover,368,2009,2009,,2018/05/23,to-read,to-read (#46),to-read,,,,0,0
2774428,Community: The Structure of Belonging,Peter Block,"Block, Peter",,"=""1576754871""","=""9781576754870""",0,4.06,Berrett-Koehler Publishers,Hardcover,240,2008,,,2018/05/23,to-read,to-read (#45),to-read,,,,0,0
36030,The Occult,Colin Wilson,"Wilson, Colin",,"=""1842931075""","=""9781842931073""",0,3.91,Watkins Publishing,Paperback,800,1999,1971,,2018/05/23,to-read,to-read (#44),to-read,,,,0,0
28256439,"The Hidden Life of Trees: What They Feel, How They Communicate: Discoveries from a Secret World",Peter Wohlleben,"Wohlleben, Peter","Tim Flannery, Jane Billinghurst, Suzanne Simard","=""1771642483""","=""9781771642484""",0,4.07,Greystone Books,Hardcover,272,2016,2015,,2018/05/23,to-read,to-read (#43),to-read,,,,0,0
560865,Ayurveda: A Life of Balance: The Complete Guide to Ayurvedic Nutrition and Body Types with Recipes,Maya Tiwari,"Tiwari, Maya",,"=""089281490X""","=""9780892814909""",0,4.14,Healing Arts Press ,Paperback,368,1994,1994,,2018/05/02,to-read,to-read (#42),to-read,,,,0,0
217494,Prakriti: Your Ayurvedic Constitution,Robert E. Svoboda,"Svoboda, Robert E.",,"=""0965620832""","=""9780965620833""",0,4.28,Lotus Press,Paperback,224,1998,1988,,2018/05/02,to-read,to-read (#41),to-read,,,,0,0
928567,Ayurveda: The Science of Self Healing: A Practical Guide,Vasant Dattatray Lad,"Lad, Vasant Dattatray",,"=""0914955004""","=""9780914955009""",0,4.08,Lotus Press,Paperback,176,1985,1984,,2018/05/02,to-read,to-read (#40),to-read,,,,0,0
